Unnamed: 0.1,Unnamed: 0,French,English
1,2,police,police
2,3,pensais,thought
4,6,genre,kind
5,7,mois,month
7,9,laisser,let
9,11,mettre,to put
10,12,aucun,no
11,13,laisse,leash
12,15,ville,city
14,18,devrait,should
15,19,bébé,baby
16,20,longtemps,long time
18,22,vont,will
19,23,pendant,while
20,24,revoir,meet again
21,26,place,square
22,27,parle,speak
23,29,savais,knew
24,30,étaient,were
25,31,attention,Warning
26,33,pourrais,could
27,34,donner,give
28,35,type,type
29,36,donné,given
30,37,train,train
31,38,corps,body
34,42,trouve,find
35,43,premier,first
37,46,côté,side
42,51,tellement,so much
43,54,pardon,sorry
44,56,devant,in front of
45,57,vers,towards
47,60,belle,beautiful
49,63,mari,husband
50,64,cause,cause
52,67,eau,water
53,68,attendez,Wait
54,69,parti,left
55,72,arrêter,Stop
56,73,dirait,would say
57,75,compte,account
58,76,donne,given
59,77,loin,far
60,78,fin,end
61,79,croire,believe
62,80,gros,large
63,81,plutôt,rather
64,82,aura,will have
65,83,filles,girls
66,85,bureau,office
